station_id,station_name,time,date,year,month,day,hour,parameter,value,gross_range_test_qc,spike_test_qc,rate_of_change_test_qc,flat_line_test_qc,aggregate_qc,source_hydrovu_id,source_hydrovu_name,source_hydrovu_description
CCBay,4648354079375360,2026-01-01 15:45:00,2026-01-01,2026,1,1,15,Actual Conductivity (µS/cm),44258.8125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:00:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44276.75390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:15:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44302.54296875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:30:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44341.11328125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 16:45:00,2026-01-01,2026,1,1,16,Actual Conductivity (µS/cm),44474.74609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:00:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44530.73046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:15:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44618.35546875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:30:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44675.7578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 17:45:00,2026-01-01,2026,1,1,17,Actual Conductivity (µS/cm),44775.96484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:00:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44782.125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:15:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44850.59375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:30:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),44948.30859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 18:45:00,2026-01-01,2026,1,1,18,Actual Conductivity (µS/cm),45062.98828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:00:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45157.31640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:15:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45273.3046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:30:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),45075.03515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 19:45:00,2026-01-01,2026,1,1,19,Actual Conductivity (µS/cm),44765.21875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:00:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44800.8984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:15:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44891.7109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:30:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44979.515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 20:45:00,2026-01-01,2026,1,1,20,Actual Conductivity (µS/cm),44811.3984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:00:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44699.26953125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:15:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44660.88671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:30:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44598.7265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 21:45:00,2026-01-01,2026,1,1,21,Actual Conductivity (µS/cm),44567.51171875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:00:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44579.0390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:15:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44491.609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:30:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44496.58203125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 22:45:00,2026-01-01,2026,1,1,22,Actual Conductivity (µS/cm),44442.8046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:00:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44405.3125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:15:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44406.6484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:30:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44390.21875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-01 23:45:00,2026-01-01,2026,1,1,23,Actual Conductivity (µS/cm),44414.78515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 00:00:00,2026-01-02,2026,1,2,0,Actual Conductivity (µS/cm),44394.55859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 00:15:00,2026-01-02,2026,1,2,0,Actual Conductivity (µS/cm),44396.49609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 00:30:00,2026-01-02,2026,1,2,0,Actual Conductivity (µS/cm),44399.90625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 00:45:00,2026-01-02,2026,1,2,0,Actual Conductivity (µS/cm),44427.98046875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 01:00:00,2026-01-02,2026,1,2,1,Actual Conductivity (µS/cm),44401.75390625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 01:15:00,2026-01-02,2026,1,2,1,Actual Conductivity (µS/cm),44412.97265625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 01:30:00,2026-01-02,2026,1,2,1,Actual Conductivity (µS/cm),44428.28125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 01:45:00,2026-01-02,2026,1,2,1,Actual Conductivity (µS/cm),44424.6953125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 02:00:00,2026-01-02,2026,1,2,2,Actual Conductivity (µS/cm),44382.3984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 02:15:00,2026-01-02,2026,1,2,2,Actual Conductivity (µS/cm),44414.6171875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 02:30:00,2026-01-02,2026,1,2,2,Actual Conductivity (µS/cm),44434.66015625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 02:45:00,2026-01-02,2026,1,2,2,Actual Conductivity (µS/cm),44458.56640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 03:00:00,2026-01-02,2026,1,2,3,Actual Conductivity (µS/cm),44445.5625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 03:15:00,2026-01-02,2026,1,2,3,Actual Conductivity (µS/cm),44480.12890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 03:30:00,2026-01-02,2026,1,2,3,Actual Conductivity (µS/cm),44534.58984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 03:45:00,2026-01-02,2026,1,2,3,Actual Conductivity (µS/cm),44597.43359375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 04:00:00,2026-01-02,2026,1,2,4,Actual Conductivity (µS/cm),44622.19140625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 04:15:00,2026-01-02,2026,1,2,4,Actual Conductivity (µS/cm),44608.62109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 04:30:00,2026-01-02,2026,1,2,4,Actual Conductivity (µS/cm),44528.25,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 04:45:00,2026-01-02,2026,1,2,4,Actual Conductivity (µS/cm),44492.3828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 05:00:00,2026-01-02,2026,1,2,5,Actual Conductivity (µS/cm),44527.06640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 05:15:00,2026-01-02,2026,1,2,5,Actual Conductivity (µS/cm),44640.484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 05:30:00,2026-01-02,2026,1,2,5,Actual Conductivity (µS/cm),44635.5703125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 05:45:00,2026-01-02,2026,1,2,5,Actual Conductivity (µS/cm),44605.28125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 06:00:00,2026-01-02,2026,1,2,6,Actual Conductivity (µS/cm),44612.3671875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 06:15:00,2026-01-02,2026,1,2,6,Actual Conductivity (µS/cm),44606.41796875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 06:30:00,2026-01-02,2026,1,2,6,Actual Conductivity (µS/cm),44613.94921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 06:45:00,2026-01-02,2026,1,2,6,Actual Conductivity (µS/cm),44666.83984375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 07:00:00,2026-01-02,2026,1,2,7,Actual Conductivity (µS/cm),44650.5234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 07:15:00,2026-01-02,2026,1,2,7,Actual Conductivity (µS/cm),44662.94921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 07:30:00,2026-01-02,2026,1,2,7,Actual Conductivity (µS/cm),44715.67578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 07:45:00,2026-01-02,2026,1,2,7,Actual Conductivity (µS/cm),44746.96484375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 08:00:00,2026-01-02,2026,1,2,8,Actual Conductivity (µS/cm),44741.19140625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 08:15:00,2026-01-02,2026,1,2,8,Actual Conductivity (µS/cm),44766.578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 08:30:00,2026-01-02,2026,1,2,8,Actual Conductivity (µS/cm),44792.609375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 08:45:00,2026-01-02,2026,1,2,8,Actual Conductivity (µS/cm),44817.75,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 09:00:00,2026-01-02,2026,1,2,9,Actual Conductivity (µS/cm),44778.05859375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 09:15:00,2026-01-02,2026,1,2,9,Actual Conductivity (µS/cm),44776.59765625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 09:30:00,2026-01-02,2026,1,2,9,Actual Conductivity (µS/cm),44735.27734375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 09:45:00,2026-01-02,2026,1,2,9,Actual Conductivity (µS/cm),44711.3828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 10:00:00,2026-01-02,2026,1,2,10,Actual Conductivity (µS/cm),44690.8828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 10:15:00,2026-01-02,2026,1,2,10,Actual Conductivity (µS/cm),44716.2109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 10:30:00,2026-01-02,2026,1,2,10,Actual Conductivity (µS/cm),44729.56640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 10:45:00,2026-01-02,2026,1,2,10,Actual Conductivity (µS/cm),44763.734375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 11:00:00,2026-01-02,2026,1,2,11,Actual Conductivity (µS/cm),44730.69921875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 11:15:00,2026-01-02,2026,1,2,11,Actual Conductivity (µS/cm),44732.84375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 11:30:00,2026-01-02,2026,1,2,11,Actual Conductivity (µS/cm),44716.01953125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 11:45:00,2026-01-02,2026,1,2,11,Actual Conductivity (µS/cm),44746.1640625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 12:00:00,2026-01-02,2026,1,2,12,Actual Conductivity (µS/cm),44704.890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 12:15:00,2026-01-02,2026,1,2,12,Actual Conductivity (µS/cm),44662.578125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 12:30:00,2026-01-02,2026,1,2,12,Actual Conductivity (µS/cm),44646.40234375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 12:45:00,2026-01-02,2026,1,2,12,Actual Conductivity (µS/cm),44666.01171875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 13:00:00,2026-01-02,2026,1,2,13,Actual Conductivity (µS/cm),44643.26953125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 13:15:00,2026-01-02,2026,1,2,13,Actual Conductivity (µS/cm),44664.1015625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 13:30:00,2026-01-02,2026,1,2,13,Actual Conductivity (µS/cm),44638.62890625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 13:45:00,2026-01-02,2026,1,2,13,Actual Conductivity (µS/cm),44668.34375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 14:00:00,2026-01-02,2026,1,2,14,Actual Conductivity (µS/cm),44654.73828125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 14:15:00,2026-01-02,2026,1,2,14,Actual Conductivity (µS/cm),44655.0078125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 14:30:00,2026-01-02,2026,1,2,14,Actual Conductivity (µS/cm),44661.109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 14:45:00,2026-01-02,2026,1,2,14,Actual Conductivity (µS/cm),44679.0546875,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 15:00:00,2026-01-02,2026,1,2,15,Actual Conductivity (µS/cm),44675.30078125,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 15:15:00,2026-01-02,2026,1,2,15,Actual Conductivity (µS/cm),44685.53515625,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 15:30:00,2026-01-02,2026,1,2,15,Actual Conductivity (µS/cm),44703.37109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 15:45:00,2026-01-02,2026,1,2,15,Actual Conductivity (µS/cm),44747.109375,1,1,1,1,1,,,
CCBay,4648354079375360,2026-01-02 16:00:00,2026-01-02,2026,1,2,16,Actual Conductivity (µS/cm),44785.44921875,1,1,1,1,1,,,
